year,month,total_cars,total_peds,total_bikes,total_others
2015,1,318274,200356,4191,31
2015,2,103156,8859,55,0
2015,3,542687,39042,1081,77
2015,4,2476355,721365,62073,2199
2015,5,2643564,210485,24345,12
2015,6,397969,78687,9814,0
2015,7,163703,20528,3517,0
2015,8,203348,72324,22917,0
2015,9,170714,29320,5943,0
2015,10,330086,21074,4235,0
2015,11,740205,122147,10259,0
2015,12,491662,58783,9646,0
2016,1,139132,5295,165,0
2016,2,845384,57930,830,0
2016,3,1440813,51614,1711,1
2016,4,2782871,246741,18826,3
2016,5,1784831,158621,8314,1169
2016,6,1023280,87577,12911,2
2016,7,185284,26320,5341,745
2016,8,498839,331499,28332,501
2016,9,1520551,1667809,117092,4518
2016,10,692025,83806,20227,4
2016,11,2069550,770030,52095,68
2016,12,2262452,87433,1733,85
2017,1,1593137,465081,24648,1502
2017,2,430012,47157,3919,272
2017,3,588503,60300,6640,4
2017,4,1306722,178482,25039,3
2017,5,232327,121676,12694,44
2017,6,825969,265693,48193,673
2017,7,258643,33449,10206,30
2017,8,70845,10729,2905,11
2017,9,507262,51519,5788,11035
2017,10,288227,19247,2791,5940
2017,11,518848,38587,8915,1
2017,12,410284,11940,642,24
2018,1,1212387,306352,12606,3379
2018,2,659319,44674,4944,365
2018,3,1455217,175558,10254,3
2018,4,1214587,81899,4308,3
2018,5,525336,79022,15322,2
2018,6,627807,165135,66006,2
2018,7,312365,83104,18229,211
2018,8,407085,82515,15031,3
2018,9,377429,40694,10004,0
2018,10,793023,66237,3495,0
2018,11,392513,89702,3955,627
2018,12,1968713,161142,6453,9718
2019,1,984813,179342,6484,16538
2019,2,703353,384187,6708,6
2019,3,1093703,366566,9662,10
2019,4,894520,274237,28576,18
2019,5,1059783,324927,27769,88
2019,6,1304126,168541,16454,0
2019,7,131299,78655,22472,0
2019,8,236766,243112,18097,0
2019,9,138438,16848,1967,0
2019,10,253428,102888,6614,0
2019,11,599277,48847,809,0
2019,12,1330251,52274,536,0
